RSTRNT_ID,RSTRNT_CTGRY_NM,RSTRNT_NM,RSTRNT_ROAD_NM_ADDR,RSTRNT_LNM_ADDR,RSTRNT_TEL_NO,RESVE_POSBL_AT,SLE_VGTR_MENU_INFO_DC,RSTRNT_LA,RSTRNT_LO
271235,퓨전음식,카페sun,서울특별시 마포구 동교로17안길 51 1층,서울특별시 마포구 서교동 448-25 1층,23368457,N,"두유들깨버섯파스타,두유현미떡국,베지터블스튜,병아리콩현미밥샐러드,제철채소토마토소스파스타,현미단호박수프,현미된장자장덮밥",37.5565595,126.9187667
419884,한식뷔페,빛가람 채식부페,충청북도 충주시 안림로 256 빛가람채식뷔페,충청북도 충주시 안림동 91-2,438423333,N,"어른,청소년,유치원(5세~7세),점심 뷔페,초등학생",36.9737141,127.9714125
572367,이탈리아음식,베제투스,서울특별시 용산구 신흥로 59,서울특별시 용산구 용산동2가 22-12,7088245959,N,"라따뚜이,라자냐,맥앤치즈,베제투스버거,브리또볼,비건비프 파니니,빈즈파티샐러드,아프리 콜라,진토닉,칠리,카프레제샐러드,카프레제파니니,콤부차,하우스 레드와인,할라피뇨버거",37.5437073,126.9872746
645596,사찰음식,푸른솔맑은향 채식식당,제주특별자치도 제주시 고사마루길 109 제2동,제주특별자치도 제주시 노형동 1620-1,647499395,N,"20인 이상 사전예약 약선채식뷔페,들깨수제비,들깨죽,보리비빔밥,연잎밥,팥칼국수",33.4718739,126.473809
791094,한식뷔페,바보죽힐링카페,광주광역시 동구 의재로 145-1,광주광역시 동구 운림동 657,622235678,N,성인,35.1324027,126.9433062
809070,샐러드,초록초록,서울특별시 종로구 사직로8길 42 지하1층 107호,서울특별시 종로구 내수동 74,264491139,N,"리코타치즈샐러드,버섯샐러드,초록초록샐러드",37.573774,126.9731379
817949,한식뷔페,담은하늘채,전라남도 목포시 평화로 38-7,전라남도 목포시 상동 1152-1,612846277,N,부페성인1인,34.794237,126.428707
22029,"카페,디저트",관포60,경상남도 거제시 장목면 관포길 60,경상남도 거제시 장목면 관포리 57-4,1046978922,N,"넛라떼,바닐라라떼,비건브런치,아메리카노,아인슈페너,코코파인워터,퍼지브라우니,현미스콘",34.9898612,128.6964627
24155,"카페,디저트",파이토랩,전라남도 장흥군 장흥읍 칠거리예양로 53,전라남도 장흥군 장흥읍 예양리 22-3,1057640883,N,커피,34.6766769,126.9020772
30749,양식,비오는날의숲,제주특별자치도 제주시 조천읍 신촌북3길 1,제주특별자치도 제주시 조천읍 신촌리 2202-1,7051801234,N,"[Vegan] 마시멜로 초코쿠키,[Vegan] 만두,[Vegan] 미트볼,[Vegan] 파스타,뱅쇼,포르투갈와인과 하와이맥주",33.5372517,126.6188818
55027,"카페,디저트",소이로움,서울특별시 종로구 필운대로 41 1층,서울특별시 종로구 누하동 58-1,25868088,N,"곡물패티버거,두유리조또,베지함박플레이트,보리커피,야채스프커리,오늘의케이크,타코라이스,템페조림덮밥,템페탕수,포두부 시금치크림파스타",37.5797223,126.9686012
68066,한정식,채근담 역삼점,서울특별시 강남구 테헤란로 152 강남파이낸스센터 B1,서울특별시 강남구 역삼동 737,25697165,Y,"근정식 (평일 점심),선정식 (평일 저녁 & 주말 전일),채정",37.5000263,127.0365456
913544,베이커리,더브레드블루 본사,서울특별시 구로구 디지털로31길 20 12층 1210호,서울특별시 구로구 구로동 197-22 12층 1210호,28660723,N,빵,37.4854994,126.8943518
914431,양식,천년식향,서울특별시 서초구 효령로 316-1 3층,서울특별시 서초구 서초동 1443-4 3층,1063237231,N,"Art of Vegetable,Luxury of Vegetable : Spoil Your Self (1人),Natural Wine : The Jealousy of Nature,Or",37.4854265,127.0189763
102540,샐러드,스프라우트,서울 용산구 이태원로14길 21 1층,서울특별시 용산구 이태원동 63-5,237896292,N,"갈릭 후무스,당근 오렌지 주스,리치 퍼지 초콜릿 브라우니,미라클(ABC) 주스,베지터블 파히타 부리또,비건 라자냐,크리미 코코넛 보울,피넛버터 프로틴 바",37.5334547,126.990849
918356,샐러드,스톡홀름샐러드 범어점,대구광역시 수성구 동대구로77길 9 1층,대구광역시 수성구 범어동 14-14 1층,50713864096,N,"No시럽 오렌지에이드,No시럽 오미자에이드,No시럽 청포도케일주스,No시럽 토마토주스,샐러드 300g,스톡홀름 커피",35.8646609,128.6260454
919119,채식,채식공간 녹두,경기도 파주시 산남로107번길 35-35,경기도 파주시 산남동 103-11,50713671730,N,"간장양념 채소구이찜과 나물솥밥,나물 주먹밥,문경 오미자 에이드,봄나물 페스토 파스타,전남 고흥 유자 에이드,제주 레몬 에이드,제철 모듬 채소 구이와 밥,채소 토마토 스프,카페라떼,",37.7022986,126.6974191
